Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_1984_0 tmem14ca  have too few sites, skip
Group_2922_0 tmem56a  have too few sites, skip
Group_8063_0 dap  have too few sites, skip
Group_3805_0 ropn1l  have too few sites, skip
Group_233_7 loc107382995  have too few sites, skip
Group_14_49 hnf4g  have too few sites, skip
Group_122_12 zgc:112332  have too few sites, skip
Group_4877_0 tpk1  have too few sites, skip
Group_6673_0 c8g  have too few sites, skip
Group_2363_1 msrb2  have too few sites, skip
Group_860_0 pip4k2aa  have too few sites, skip
Group_6647_0 commd3  have too few sites, skip
Group_189_11 mllt10  have too few sites, skip
Group_944_0 si:ch211-217a12.1  have too few sites, skip
Group_683_3 ppp1r16a  have too few sites, skip
Group_27_34 foxh1  have too few sites, skip
Group_583_5 pdk3a  have too few sites, skip
Group_1528_2 pcyt1ba  have too few sites, skip
Group_7520_0 ndufb4  have too few sites, skip
Group_8808_0 si:dkey-12l12.1  have too few sites, skip
Group_8377_0 prlh2  have too few sites, skip
Group_7346_0 cmbl  have too few sites, skip
Group_1054_0 neto1l  have too few sites, skip
Group_730_2 cbln2b  have too few sites, skip
Group_844_0 jph1a  have too few sites, skip
Group_6304_0 tceb1a  have too few sites, skip
Group_58_9 ube2w  have too few sites, skip
Group_2355_1 stau2  have too few sites, skip
Group_835_0 rdh10a  have too few sites, skip
Group_2521_1 rpl7  have too few sites, skip
Group_9692_0 unknown  have too few sites, skip
Group_1008_0 eya1  have too few sites, skip
Group_1497_2 tram1  have too few sites, skip
Group_6014_0 cops5  have too few sites, skip
Group_6_23 sgk3  have too few sites, skip
Group_3507_0 crhb  have too few sites, skip
Group_108_12 pde7a  have too few sites, skip
Group_1613_0 armc1  have too few sites, skip
Group_2431_1 bhlhe22  have too few sites, skip
Group_516_0 tagln3b  have too few sites, skip
Group_26_37 flt3  have too few sites, skip
Group_6259_0 urad  have too few sites, skip
Group_7616_0 si:ch211-140b10.6  have too few sites, skip
Group_4933_0 rpl21  have too few sites, skip
Group_2319_1 rnf13  have too few sites, skip
Group_4933_1 rpl21  have too few sites, skip
Group_277_5 usp12a  have too few sites, skip
Group_19_31 cdk8  have too few sites, skip
Group_2121_0 shisa2  have too few sites, skip
Group_6543_0 naa50  have too few sites, skip
Group_5428_0 qtrtd1  have too few sites, skip
Group_5061_0 ccdc58  have too few sites, skip
Group_382_7 kpna1  have too few sites, skip
Group_0_86 zbtb47a  have too few sites, skip
Group_4248_1 gars  have too few sites, skip
Group_294_1 ctdspla  have too few sites, skip
Group_91_2 plcd1a  have too few sites, skip
Group_2916_1 slc35g2b  have too few sites, skip
Group_421_2 bdh1  have too few sites, skip
Group_3_61 agtr1b  have too few sites, skip
Group_2886_1 tgif1  have too few sites, skip
Group_40_8 mnx1  have too few sites, skip
Group_113_17 dnajb6b  have too few sites, skip
Group_416_5 cacnb2a  have too few sites, skip
Group_4504_0 enosf1  have too few sites, skip
Group_12_26 yes1  have too few sites, skip
Group_320_5 myl12.1  have too few sites, skip
Group_2466_1 chmp5b  have too few sites, skip
Group_86_15 cu681855.1  have too few sites, skip
Group_110_12 sox32  have too few sites, skip
Group_134_9 pou6f2  have too few sites, skip
Group_4092_0 ankha  have too few sites, skip
Group_1033_0 fam49bb  have too few sites, skip
Group_1254_1 si:ch211-198h5.3  have too few sites, skip
