Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_1652_0 si:ch211-57i17.1  have too few sites, skip
Group_5246_1 si:ch211-57i17.5  have too few sites, skip
Group_1450_2 hsf2  have too few sites, skip
Group_6155_0 cgrrf1  have too few sites, skip
Group_39_32 psmc6  have too few sites, skip
Group_3401_0 tcf23  have too few sites, skip
Group_2521_0 rpl7l1  have too few sites, skip
Group_1025_1-Group_1025_2 snap25  have too few sites, skip
Group_536_2 stmn4  have too few sites, skip
Group_8764_0 fam177b  have too few sites, skip
Group_1651_0 hmbox1b  have too few sites, skip
Group_6213_0 elp3  have too few sites, skip
Group_2682_0 pnocb  have too few sites, skip
Group_4030_1 lft1  have too few sites, skip
Group_1268_2 hnrnpua  have too few sites, skip
Group_0_120 zbtb14  have too few sites, skip
Group_80_5 gnal  have too few sites, skip
Group_1625_0 chodl  have too few sites, skip
Group_711_1 prkag2a  have too few sites, skip
Group_883_2 kmt2ca  have too few sites, skip
Group_6653_0 xylb  have too few sites, skip
Group_46_19 crygn2  have too few sites, skip
Group_7087_0 sugct  have too few sites, skip
Group_2080_1 asph  have too few sites, skip
Group_565_1 clvs1  have too few sites, skip
Group_1297_3 nrn1a  have too few sites, skip
Group_3935_0 fars2  have too few sites, skip
Group_1510_2 si:ch211-152c8.5  have too few sites, skip
Group_2599_1 cyb5a  have too few sites, skip
Group_1514_2 tmeff1b  have too few sites, skip
Group_534_3 murcb  have too few sites, skip
Group_1506_0 ezh2  have too few sites, skip
Group_337_5 cul1b  have too few sites, skip
Group_8709_0 zgc:194621  have too few sites, skip
Group_2149_0 cldn11b  have too few sites, skip
Group_1793_1 eif5a  have too few sites, skip
Group_1260_1 pld1b  have too few sites, skip
Group_0_144 mynn  have too few sites, skip
Group_5682_0 eif2s3  have too few sites, skip
Group_13_60 klhl15  have too few sites, skip
Group_1015_3 sat1  have too few sites, skip
Group_4179_0 eif1axa  have too few sites, skip
Group_5039_0 acot9.2  have too few sites, skip
Group_2496_0 emc9  have too few sites, skip
Group_190_11 irf9  have too few sites, skip
Group_1762_2 rnf31  have too few sites, skip
Group_7306_0 lsm5  have too few sites, skip
Group_6343_0 avl9  have too few sites, skip
Group_13_8 kbtbd2  have too few sites, skip
Group_7325_0 rnf152  have too few sites, skip
Group_49_4 cdh20  have too few sites, skip
Group_49_0 cdh10a  have too few sites, skip
Group_417_4 phex  have too few sites, skip
Group_7728_0 smpx  have too few sites, skip
Group_1404_0 map3k15  have too few sites, skip
Group_1491_0 sh3kbp1  have too few sites, skip
Group_57_36 tmtopsb  have too few sites, skip
Group_9337_0 myeov2  have too few sites, skip
Group_1984_0 tmem14ca  have too few sites, skip
Group_605_2 plcxd2  have too few sites, skip
Group_4076_0 zc2hc1a  have too few sites, skip
Group_8063_0 dap  have too few sites, skip
Group_5937_0 nup58  have too few sites, skip
Group_233_7 loc107382995  have too few sites, skip
Group_122_12 zgc:112332  have too few sites, skip
Group_4877_0 tpk1  have too few sites, skip
Group_6673_0 c8g  have too few sites, skip
Group_860_0 pip4k2aa  have too few sites, skip
Group_944_0 si:ch211-217a12.1  have too few sites, skip
Group_6604_0 oplah  have too few sites, skip
Group_856_0 zdhhc20b  have too few sites, skip
Group_583_5 pdk3a  have too few sites, skip
Group_1528_2 pcyt1ba  have too few sites, skip
Group_7520_0 ndufb4  have too few sites, skip
Group_8808_0 si:dkey-12l12.1  have too few sites, skip
Group_8377_0 prlh2  have too few sites, skip
Group_8108_0 si:dkey-118j18.2  have too few sites, skip
Group_47_26 sema5a  have too few sites, skip
Group_2654_1 march6  have too few sites, skip
Group_1054_0 neto1l  have too few sites, skip
Group_730_2 cbln2b  have too few sites, skip
Group_378_0 crispld1a  have too few sites, skip
Group_844_0 jph1a  have too few sites, skip
Group_6304_0 tceb1a  have too few sites, skip
Group_58_9 ube2w  have too few sites, skip
Group_2355_1 stau2  have too few sites, skip
Group_835_0 rdh10a  have too few sites, skip
Group_2521_1 rpl7  have too few sites, skip
Group_15_43 trpa1b  have too few sites, skip
Group_2648_0 msc  have too few sites, skip
Group_9692_0 unknown  have too few sites, skip
Group_1008_0 eya1  have too few sites, skip
Group_6006_0 zgc:162928  have too few sites, skip
Group_6014_0 cops5  have too few sites, skip
Group_6071_0 ppp1r42  have too few sites, skip
Group_3401_1 tcf24  have too few sites, skip
Group_6_23 sgk3  have too few sites, skip
Group_9018_0 si:dkey-97a13.12  have too few sites, skip
Group_7246_0 rrs1  have too few sites, skip
Group_790_0 trim55b  have too few sites, skip
Group_108_12 pde7a  have too few sites, skip
Group_4314_0 mtfr1  have too few sites, skip
Group_1613_0 armc1  have too few sites, skip
Group_516_0 tagln3b  have too few sites, skip
Group_26_37 flt3  have too few sites, skip
Group_6259_0 urad  have too few sites, skip
Group_7616_0 si:ch211-140b10.6  have too few sites, skip
Group_4933_0 rpl21  have too few sites, skip
Group_2319_1 rnf13  have too few sites, skip
Group_6480_0 ppp1r2  have too few sites, skip
Group_4933_1 rpl21  have too few sites, skip
Group_277_5 usp12a  have too few sites, skip
Group_145_4 gpr12  have too few sites, skip
Group_19_31 cdk8  have too few sites, skip
Group_2769_0 rnf6  have too few sites, skip
Group_6543_0 naa50  have too few sites, skip
Group_2538_0 atp6v1a  have too few sites, skip
Group_1556_3 si:ch211-161h7.8  have too few sites, skip
Group_5061_0 ccdc58  have too few sites, skip
Group_382_7 kpna1  have too few sites, skip
Group_0_86 zbtb47a  have too few sites, skip
Group_4248_1 gars  have too few sites, skip
Group_294_1 ctdspla  have too few sites, skip
Group_91_2 plcd1a  have too few sites, skip
Group_16_26 oxsr1b  have too few sites, skip
Group_825_1 csrnp1b  have too few sites, skip
Group_2916_1 slc35g2b  have too few sites, skip
Group_421_2 bdh1  have too few sites, skip
Group_1694_0 gyg1b  have too few sites, skip
Group_388_1 cpa3  have too few sites, skip
Group_2886_1 tgif1  have too few sites, skip
Group_40_8 mnx1  have too few sites, skip
Group_113_17 dnajb6b  have too few sites, skip
Group_5776_0 zfand1  have too few sites, skip
Group_30_38 arl8  have too few sites, skip
Group_416_5 cacnb2a  have too few sites, skip
Group_12_26 yes1  have too few sites, skip
Group_320_5 myl12.1  have too few sites, skip
Group_2466_1 chmp5b  have too few sites, skip
Group_3_85 oprk1  have too few sites, skip
Group_4184_0 vps41  have too few sites, skip
Group_134_9 pou6f2  have too few sites, skip
Group_4092_0 ankha  have too few sites, skip
Group_1033_0 fam49bb  have too few sites, skip
Group_590_4 asap1b  have too few sites, skip
Group_3243_1 si:ch1073-406l10.2  have too few sites, skip
Group_2766_0 puf60  have too few sites, skip
Group_1637_1 nrbp2b  have too few sites, skip
Group_5580_0 cdv3  have too few sites, skip
Group_5341_0 lztfl1  have too few sites, skip
Group_3_16 ccr9b  have too few sites, skip
Group_107_16 prpf4bb  have too few sites, skip
Group_4421_0 pxdc1b  have too few sites, skip
Group_2458_1 dok4  have too few sites, skip
Group_2641_0 wdr45b  have too few sites, skip
Group_0_64 loc107374395  have too few sites, skip
Group_71_1 bmp6  have too few sites, skip
Group_893_1 tm9sf1  have too few sites, skip
Group_2897_1 fen1  have too few sites, skip
Group_7037_0 thtpa  have too few sites, skip
Group_2602_1 pabpn1  have too few sites, skip
Group_4749_0 ngdn  have too few sites, skip
Group_74_23 slc22a17  have too few sites, skip
Group_843_2 ramp3  have too few sites, skip
Group_7283_0 pomp  have too few sites, skip
Group_85_1 mmp16  have too few sites, skip
Group_758_1 fbxo45  have too few sites, skip
Group_1071_2 sh3glb1a  have too few sites, skip
Group_3044_2 selj  have too few sites, skip
Group_374_5 prmt6  have too few sites, skip
Group_2298_1 waca  have too few sites, skip
Group_143_11 mpp7  have too few sites, skip
Group_337_4 cul2  have too few sites, skip
Group_4_7 rab18  have too few sites, skip
Group_2997_1 mkxa  have too few sites, skip
Group_946_1 slc10a2  have too few sites, skip
Group_108_13 si:dkey-219c10.4  have too few sites, skip
Group_6483_0 nifk  have too few sites, skip
Group_5447_0 zc3h15  have too few sites, skip
Group_5221_0 rbm45  have too few sites, skip
Group_6325_0 rps20  have too few sites, skip
Group_176_10 cpne3  have too few sites, skip
Group_5633_0 zgc:101819  have too few sites, skip
Group_5151_0 tyw5  have too few sites, skip
Group_3080_0 lypd1  have too few sites, skip
Group_2474_0 slc35f5  have too few sites, skip
Group_7159_0 zgc:136439  have too few sites, skip
Group_4967_0 wdr75  have too few sites, skip
Group_4972_0 osgepl1  have too few sites, skip
Group_7654_0 ddt  have too few sites, skip
Group_138_0 arhgap12b  have too few sites, skip
Group_3530_0 nags  have too few sites, skip
Group_1699_2 rnf11a  have too few sites, skip
Group_7092_0 fdx1l  have too few sites, skip
Group_1730_2 sphk1  have too few sites, skip
Group_5463_0 arglu1a  have too few sites, skip
Group_923_0 efnb2a  have too few sites, skip
Group_5958_0 vopp1  have too few sites, skip
Group_1850_2 lancl2  have too few sites, skip
Group_715_0 ikzf1  have too few sites, skip
Group_4363_0 ttl  have too few sites, skip
Group_6022_0 mcfd2  have too few sites, skip
Group_656_0 pfkpa  have too few sites, skip
Group_51_42 loc107382657  have too few sites, skip
Group_115_18 fzd8a  have too few sites, skip
Group_1157_1 ccny  have too few sites, skip
