Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_7983_0 ptrhd1  have too few sites, skip
Group_272_0 loc107377742  have too few sites, skip
Group_38_36-Group_38_37 loc107396001  have too few sites, skip
Group_3329_1 fam89a  have too few sites, skip
Group_2418_1 trim67  have too few sites, skip
Group_7529_0 zgc:194224  have too few sites, skip
Group_2026_1 gnpat  have too few sites, skip
Group_133_11 scara5  have too few sites, skip
Group_5918_0 pbk  have too few sites, skip
Group_6824_0 ccdc25  have too few sites, skip
Group_4_29 rab10  have too few sites, skip
Group_5807_0 nup43  have too few sites, skip
Group_2595_1 pcmt  have too few sites, skip
Group_677_1 tfap2b  have too few sites, skip
Group_677_3 tfap2d  have too few sites, skip
Group_627_2 hadhb  have too few sites, skip
Group_66_12 jag2b  have too few sites, skip
Group_7794_0 knstrn  have too few sites, skip
Group_7019_0 abracl  have too few sites, skip
Group_1064_2 scara3  have too few sites, skip
Group_4146_0 scg5  have too few sites, skip
Group_1670_1 grem1a  have too few sites, skip
Group_4801_0 aven  have too few sites, skip
Group_3940_0 emc7  have too few sites, skip
Group_6035_0 sarnp  have too few sites, skip
Group_2639_0 hsd17b10  have too few sites, skip
Group_3434_1 fam120c  have too few sites, skip
Group_131_20 slc16a1b  have too few sites, skip
Group_1248_1 anks1a  have too few sites, skip
Group_860_3 pip4k2c  have too few sites, skip
Group_254_4 igfbp6b  have too few sites, skip
Group_996_0 lima1  have too few sites, skip
Group_33_29 cd63  have too few sites, skip
Group_4929_0 letmd1  have too few sites, skip
Group_4544_0 zgc:56699  have too few sites, skip
Group_5527_0 rnf41  have too few sites, skip
Group_15_46 ankrd52a  have too few sites, skip
Group_6668_0 cs  have too few sites, skip
Group_1467_0 si:dkey-190g6.2  have too few sites, skip
Group_309_8 dpp10  have too few sites, skip
Group_7350_0 dazap2  have too few sites, skip
Group_134_8 pou6f1  have too few sites, skip
Group_1717_0 tfcp2  have too few sites, skip
Group_188_0 itga5  have too few sites, skip
Group_3107_0 slc48a1a  have too few sites, skip
Group_7377_0 si:dkey-205h13.1  have too few sites, skip
Group_2_81 loc107390419  have too few sites, skip
Group_7013_0 gpr176  have too few sites, skip
Group_2164_0 susd6  have too few sites, skip
Group_946_2 slc10a1  have too few sites, skip
Group_2868_1 max  have too few sites, skip
Group_5394_0 fntb  have too few sites, skip
Group_1693_1 si:dkey-126h10.1  have too few sites, skip
Group_387_0 dlgap2b  have too few sites, skip
Group_6412_0 bpnt1  have too few sites, skip
Group_747_0 ypel5  have too few sites, skip
Group_10_29 gpr31  have too few sites, skip
Group_2240_0 msra  have too few sites, skip
Group_1983_1 cad  have too few sites, skip
Group_113_11 dnajc5gb  have too few sites, skip
Group_7540_0 uts1  have too few sites, skip
Group_1196_0 slc30a2  have too few sites, skip
Group_177_0 fabp7b  have too few sites, skip
Group_434_6 zgc:101840  have too few sites, skip
Group_2941_1 zfand3  have too few sites, skip
Group_99_17 galnt14  have too few sites, skip
Group_2274_0 angel2  have too few sites, skip
Group_2522_2 vash2  have too few sites, skip
Group_1049_2 flvcr1  have too few sites, skip
Group_7022_0 nsl1  have too few sites, skip
Group_5869_0 adat2  have too few sites, skip
Group_2898_0 aig1  have too few sites, skip
Group_2961_0 ahsa1a  have too few sites, skip
Group_10_51 gpr132b  have too few sites, skip
Group_380_2 ckbb  have too few sites, skip
Group_3538_1 unknown  have too few sites, skip
Group_1515_1 mboat2b  have too few sites, skip
Group_159_0 zic1  have too few sites, skip
Group_159_17 zic4  have too few sites, skip
Group_1781_1 si:ch73-206p6.1  have too few sites, skip
Group_2830_1 u2surp  have too few sites, skip
Group_4099_0 vta1  have too few sites, skip
Group_3790_0 gje1  have too few sites, skip
Group_95_8 serpina10a  have too few sites, skip
Group_2862_1 ubr7  have too few sites, skip
Group_7669_0 tmem251  have too few sites, skip
Group_1000_3 tmem30ab  have too few sites, skip
Group_1281_1 senp6  have too few sites, skip
Group_24_48 htr1b  have too few sites, skip
Group_4063_1 rnaseh1  have too few sites, skip
Group_6925_0 slc35d3  have too few sites, skip
Group_6561_0 naa20  have too few sites, skip
