Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_1280_1 tbpl1  have too few sites, skip
Group_2648_1 tcf21  have too few sites, skip
Group_1008_2 eya4  have too few sites, skip
Group_4783_0 rps12  have too few sites, skip
Group_2095_1 fam167ab  have too few sites, skip
Group_4617_0 ccm2  have too few sites, skip
Group_224_7 slco3a1  have too few sites, skip
Group_14_60 nr2f2  have too few sites, skip
Group_3881_0 tnip1  have too few sites, skip
Group_1045_1 si:ch211-278j3.3  have too few sites, skip
Group_0_39 znf513  have too few sites, skip
Group_6068_0 eif2b4  have too few sites, skip
Group_318_6 phf2  have too few sites, skip
Group_42_40 chrna2b  have too few sites, skip
Group_12_54 ptk2bb  have too few sites, skip
Group_3242_1 batf  have too few sites, skip
Group_794_1 tgfb3  have too few sites, skip
Group_1531_0 jdp2b  have too few sites, skip
Group_521_3 si:ch211-153j24.3  have too few sites, skip
Group_4818_1 eif2b2  have too few sites, skip
Group_7194_0 ostm1  have too few sites, skip
Group_3232_0 pdgfrl  have too few sites, skip
Group_7510_0 sybl1  have too few sites, skip
Group_8264_0 polr1d  have too few sites, skip
Group_377_7 ednr  have too few sites, skip
Group_5192_0 lsm11  have too few sites, skip
Group_5006_0 thg1l  have too few sites, skip
Group_511_1 ppp2r2ba  have too few sites, skip
Group_6425_0 rpl26  have too few sites, skip
Group_2883_1 bnip1a  have too few sites, skip
Group_119_15 nkx2.5  have too few sites, skip
Group_3017_1 stc2  have too few sites, skip
Group_630_4 cpeb4  have too few sites, skip
Group_432_5 foxo3b  have too few sites, skip
Group_1275_0 sesn1  have too few sites, skip
Group_7628_0 cd164  have too few sites, skip
Group_130_10 ppil6  have too few sites, skip
Group_1743_1 msgn1  have too few sites, skip
Group_5737_0 mrps10  have too few sites, skip
Group_2644_0 tulp4a  have too few sites, skip
Group_5738_0 tmem181  have too few sites, skip
Group_1857_1 dynlt1  have too few sites, skip
Group_5416_0 serac1  have too few sites, skip
Group_2795_0 myct1a  have too few sites, skip
Group_1999_0 zbtb2b  have too few sites, skip
Group_319_0 xkr6b  have too few sites, skip
Group_179_10 mtmr9  have too few sites, skip
Group_6568_0 pinx1  have too few sites, skip
Group_110_15 sox7  have too few sites, skip
Group_9627_0 unknown  have too few sites, skip
Group_12_31 blk  have too few sites, skip
Group_1184_2 fndc4a  have too few sites, skip
Group_631_0 stxbp5a  have too few sites, skip
Group_6034_0 si:ch211-101l18.9  have too few sites, skip
Group_1412_1 nme6  have too few sites, skip
Group_4_94 rab32a  have too few sites, skip
Group_675_1 acss1  have too few sites, skip
Group_842_2 abcd4  have too few sites, skip
Group_1525_0 si:ch211-212g7.6  have too few sites, skip
Group_331_3 daam1b  have too few sites, skip
Group_3133_1 si:dkey-25e12.3  have too few sites, skip
Group_799_2 ncoa7  have too few sites, skip
Group_9273_0 loc107377585  have too few sites, skip
Group_6_62 si:dkey-121j17.5  have too few sites, skip
Group_195_10 si:dkey-121b10.7  have too few sites, skip
Group_32_16 si:ch211-203k16.3  have too few sites, skip
Group_1299_2 rps6kc1  have too few sites, skip
Group_671_5 smyd2b  have too few sites, skip
Group_20_19 ptpn14  have too few sites, skip
Group_151_16 si:dkey-206f10.1  have too few sites, skip
Group_4472_0 lin9  have too few sites, skip
Group_1123_3 hebp2  have too few sites, skip
Group_5393_0 cmtr1  have too few sites, skip
Group_8160_0 si:ch211-225h24.2  have too few sites, skip
Group_2636_0 fam150ba  have too few sites, skip
Group_7290_0 tmem18  have too few sites, skip
Group_818_2 fig4  have too few sites, skip
Group_145_3 gpr6  have too few sites, skip
Group_40_10 gsx1  have too few sites, skip
Group_26_30 pdgfra  have too few sites, skip
Group_972_3 rbm24a  have too few sites, skip
Group_2253_1 cap2  have too few sites, skip
Group_9232_0 si:ch1073-228h2.2  have too few sites, skip
Group_19_10 mapk15  have too few sites, skip
Group_213_5 fam83hb  have too few sites, skip
Group_6118_0 snrpd1  have too few sites, skip
Group_1332_0 azin1b  have too few sites, skip
Group_7897_0 chrac1  have too few sites, skip
Group_6675_0 uqcrb  have too few sites, skip
Group_6676_0 mterf3  have too few sites, skip
Group_1410_3 ptdss1b  have too few sites, skip
