Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_6802_0 mpc1  have too few sites, skip
Group_2945_1 rnaset2  have too few sites, skip
Group_3642_0 si: ch211-223l2.4  have too few sites, skip
Group_345_6 tnnt3  have too few sites, skip
Group_246_2 tnni2b.1  have too few sites, skip
Group_2054_0 mpped2  have too few sites, skip
Group_3511_0 atp5b  have too few sites, skip
Group_25_25 si:ch211-181l5.2  have too few sites, skip
Group_1314_1 r3hdm1  have too few sites, skip
Group_56_46 rnd3b  have too few sites, skip
Group_3588_0 lypd6  have too few sites, skip
Group_1785_1 carhsp1  have too few sites, skip
Group_5339_0 nat15  have too few sites, skip
Group_4419_0 eci1  have too few sites, skip
Group_222_7 cabz01118770.1  have too few sites, skip
Group_494_1 kat7a  have too few sites, skip
Group_166_9 aldh16a1  have too few sites, skip
Group_65_0 syt5a  have too few sites, skip
Group_345_0 tnnt1  have too few sites, skip
Group_265_3 kcnq1  have too few sites, skip
Group_33_27 cd151l  have too few sites, skip
Group_177_2 crabp1a  have too few sites, skip
Group_745_2 anp32a  have too few sites, skip
Group_8778_0 si:ch1073-469d17.2  have too few sites, skip
Group_200_5 mibp2  have too few sites, skip
Group_7727_0 bloc1s6  have too few sites, skip
Group_6116_0 dtwd1  have too few sites, skip
Group_97_10 fgf7  have too few sites, skip
Group_5572_0 dut  have too few sites, skip
Group_148_11 slc12a1  have too few sites, skip
Group_2117_0 myef2  have too few sites, skip
Group_7142_0 pir  have too few sites, skip
Group_6013_0 psmd14  have too few sites, skip
Group_226_7 itgb6  have too few sites, skip
Group_3284_1 wdsub1  have too few sites, skip
Group_7_12 pcdh9  have too few sites, skip
Group_7_41 pcdh17  have too few sites, skip
Group_5332_0 slu7  have too few sites, skip
Group_2457_1 ccnjl  have too few sites, skip
Group_2788_1 lims2  have too few sites, skip
Group_337_7 cul4a  have too few sites, skip
Group_1772_2 adprhl1  have too few sites, skip
Group_558_1 dcun1d2b  have too few sites, skip
Group_2265_0 gas6  have too few sites, skip
Group_1338_0 rasa3  have too few sites, skip
Group_4649_0 ercc5  have too few sites, skip
Group_2603_1 txnl4b  have too few sites, skip
Group_241_9 gpc5a  have too few sites, skip
Group_609_1 kctd12.2  have too few sites, skip
Group_30_16 arl6  have too few sites, skip
Group_1987_1 atp5g3b  have too few sites, skip
Group_2324_1 cmtm4  have too few sites, skip
Group_7327_0 trappc2l  have too few sites, skip
Group_1280_3 tbp  have too few sites, skip
Group_39_28 psmc3  have too few sites, skip
Group_1549_0 ctsba  have too few sites, skip
Group_106_11 efcab2  have too few sites, skip
Group_7969_0 cgref1  have too few sites, skip
Group_156_14 kcnk2a  have too few sites, skip
Group_117_22 acta1  have too few sites, skip
