Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_330_3 plppr2  have too few sites, skip
Group_5961_0 pld6  have too few sites, skip
Group_3529_0 elof1  have too few sites, skip
Group_5920_0 dand5  have too few sites, skip
Group_654_0 nfix  have too few sites, skip
Group_4155_0 ttc26  have too few sites, skip
Group_2647_2 hand2  have too few sites, skip
Group_2308_1 ero1b  have too few sites, skip
Group_138_3 arhgap15  have too few sites, skip
Group_84_22 loc107382786  have too few sites, skip
Group_1402_2 reep5  have too few sites, skip
Group_812_3 lmnb1  have too few sites, skip
Group_147_20 ppp3ccb  have too few sites, skip
Group_6417_0 pbdc1  have too few sites, skip
Group_4020_0 xpo7  have too few sites, skip
Group_288_1 fam19a1a  have too few sites, skip
Group_7318_0 tmem246  have too few sites, skip
Group_39_17 pex6  have too few sites, skip
Group_7432_0 polg2  have too few sites, skip
Group_3429_1 smdt1b  have too few sites, skip
Group_7431_0 mb  have too few sites, skip
Group_140_1 sept9  have too few sites, skip
Group_2806_0 hn1a  have too few sites, skip
Group_784_2 sumo2b  have too few sites, skip
Group_3_67 mchr1a  have too few sites, skip
Group_5511_0 stx8  have too few sites, skip
Group_36_32 ddx39ab  have too few sites, skip
Group_4966_0 trappc5  have too few sites, skip
Group_6_13 pkn1a  have too few sites, skip
Group_2807_1 tmx2b  have too few sites, skip
Group_204_5 zdhhc5a  have too few sites, skip
Group_3556_0 tbce  have too few sites, skip
Group_1056_1 gtpbp2  have too few sites, skip
Group_7242_0 zgc:77929  have too few sites, skip
Group_3769_0 mrpl4  have too few sites, skip
Group_3470_0-Group_3470_1 atpv0e2  have too few sites, skip
Group_7711_0 hoga1  have too few sites, skip
Group_2904_1 arhgap19  have too few sites, skip
Group_302_1 si:dkey-205h23.2  have too few sites, skip
Group_1532_0 nptnb  have too few sites, skip
Group_519_4 snai2  have too few sites, skip
Group_2596_1 sntg1  have too few sites, skip
Group_1773_2 tmem121b  have too few sites, skip
Group_1046_3 nt5c1bb  have too few sites, skip
Group_122_16 rdh14b  have too few sites, skip
Group_145_8 cnr1  have too few sites, skip
Group_981_2 slc35a1  have too few sites, skip
Group_7128_0 vgll2a  have too few sites, skip
Group_1827_0-Group_1827_2 arpp19a  have too few sites, skip
Group_7622_0 bcl2l10  have too few sites, skip
Group_8203_0 si:ch211-39k3.2  have too few sites, skip
Group_5553_0 fto  have too few sites, skip
Group_571_2 sall1a  have too few sites, skip
Group_4185_0 pop4  have too few sites, skip
Group_6788_0 fadd  have too few sites, skip
Group_1047_4 txlng  have too few sites, skip
Group_6794_0 phf5a  have too few sites, skip
Group_593_3 tefa  have too few sites, skip
Group_36_36 ddx28  have too few sites, skip
Group_87_27 loc107381550  have too few sites, skip
Group_4896_1 nmbb  have too few sites, skip
